
Validation Epoch: Epoch loss: 0.0532, Accuracy: 832/844 (98.578%)

Validation Epoch: Epoch loss: 0.0265, Accuracy: 835/844 (98.934%)

Validation Epoch: Epoch loss: 0.0094, Accuracy: 842/844 (99.763%)

Validation Epoch: Epoch loss: 0.0016, Accuracy: 844/844 (100.000%)

Validation Epoch: Epoch loss: 0.0009, Accuracy: 844/844 (100.000%)

Validation Epoch: Epoch loss: 0.0025, Accuracy: 843/844 (99.882%)

Validation Epoch: Epoch loss: 0.0016, Accuracy: 843/844 (99.882%)

Validation Epoch: Epoch loss: 0.0106, Accuracy: 842/844 (99.763%)

Validation Epoch: Epoch loss: 0.0042, Accuracy: 843/844 (99.882%)

Validation Epoch: Epoch loss: 0.0089, Accuracy: 842/844 (99.763%)

Validation Epoch: Epoch loss: 0.0001, Accuracy: 844/844 (100.000%)

Validation Epoch: Epoch loss: 0.0038, Accuracy: 844/844 (100.000%)

Validation Epoch: Epoch loss: 0.0039, Accuracy: 843/844 (99.882%)

Validation Epoch: Epoch loss: 0.0011, Accuracy: 843/844 (99.882%)

Validation Epoch: Epoch loss: 0.0091, Accuracy: 842/844 (99.763%)

Validation Epoch: Epoch loss: 0.0008, Accuracy: 844/844 (100.000%)

Validation Epoch: Epoch loss: 0.0107, Accuracy: 840/844 (99.526%)

Validation Epoch: Epoch loss: 0.0504, Accuracy: 824/844 (97.630%)

Validation Epoch: Epoch loss: 0.0017, Accuracy: 844/844 (100.000%)

Validation Epoch: Epoch loss: 0.0035, Accuracy: 844/844 (100.000%)

Validation Epoch: Epoch loss: 0.0019, Accuracy: 844/844 (100.000%)

Validation Epoch: Epoch loss: 0.0029, Accuracy: 843/844 (99.882%)

Validation Epoch: Epoch loss: 0.0148, Accuracy: 840/844 (99.526%)

Validation Epoch: Epoch loss: 0.0052, Accuracy: 842/844 (99.763%)

Validation Epoch: Epoch loss: 0.0045, Accuracy: 843/844 (99.882%)

Validation Epoch: Epoch loss: 0.0025, Accuracy: 843/844 (99.882%)

Validation Epoch: Epoch loss: 0.0070, Accuracy: 842/844 (99.763%)

Validation Epoch: Epoch loss: 0.0222, Accuracy: 840/844 (99.526%)

Validation Epoch: Epoch loss: 0.0012, Accuracy: 844/844 (100.000%)

Validation Epoch: Epoch loss: 0.0019, Accuracy: 844/844 (100.000%)

Validation Epoch: Epoch loss: 0.0223, Accuracy: 840/844 (99.526%)

